Action,Job1,P1,Job2,P2,Job3,P3,Job4,P4,reward
25,28,0.03321529179811478,9,0.029910767450928688,16,0.025706859305500984,8,0.024416591972112656,0.7
20,28,0.03233044967055321,9,0.03065241314470768,16,0.026424750685691833,3,0.02504674345254898,0.8
10,28,0.03340597450733185,9,0.03077547252178192,16,0.026990529149770737,47,0.025867493823170662,0.8
3,28,0.033209048211574554,9,0.032307252287864685,16,0.027345510199666023,47,0.02645985409617424,1.0
1,9,0.03349072113633156,28,0.03314713016152382,16,0.0277935191988945,47,0.027260949835181236,0.9
18,9,0.035985562950372696,28,0.0335782989859581,16,0.02887641452252865,47,0.028531424701213837,0.5090283672556918
33,28,0.03485625237226486,9,0.03473758324980736,16,0.029585523530840874,47,0.027964070439338684,0.9
49,28,0.03566097840666771,9,0.034417565912008286,16,0.030785253271460533,47,0.029538320377469063,0.8
14,9,0.036865826696157455,28,0.03568791598081589,16,0.03238502889871597,47,0.029630249366164207,0.8
28,9,0.037877053022384644,28,0.03590744361281395,16,0.03306376934051514,47,0.030746979638934135,0.7704091103408587
29,9,0.038771454244852066,16,0.0347658209502697,47,0.03367627412080765,31,0.031039414927363396,0.9
41,9,0.038830652832984924,16,0.033585868775844574,47,0.03248632326722145,31,0.03087182343006134,1.0
2,9,0.039973169565200806,16,0.03524944558739662,47,0.03328663855791092,31,0.032711487263441086,0.3283778269326711
19,9,0.03992479294538498,16,0.035374317318201065,31,0.03486621007323265,47,0.03473007678985596,0.4070894523745063
24,9,0.04280755668878555,47,0.03641849383711815,16,0.03594053536653519,30,0.03414475545287132,1.0
35,9,0.04266702011227608,16,0.039141006767749786,47,0.03791610151529312,30,0.03541603311896324,0.442377099001061
4,9,0.0434994250535965,46,0.03777410462498665,47,0.03775157779455185,16,0.03736622631549835,0.9
30,9,0.0445091687142849,31,0.03763870149850845,47,0.03716430813074112,12,0.037051014602184296,0.5226828265477986
17,9,0.04557739198207855,47,0.03980481997132301,31,0.03834817558526993,16,0.03802481293678284,0.5058217918852608
16,9,0.046248771250247955,47,0.042480114847421646,16,0.04095395281910896,15,0.039744459092617035,0.628852097633908
32,9,0.05341244116425514,31,0.041961755603551865,47,0.041169166564941406,15,0.04049081727862358,0.4031068461079224
42,9,0.06034301966428757,15,0.043222155421972275,47,0.04226132109761238,31,0.041850872337818146,0.39433978545087645
43,9,0.05586578696966171,12,0.045148368924856186,47,0.04415668919682503,15,0.04331468045711517,0.2002604376219425
36,9,0.0600089393556118,47,0.04637635126709938,31,0.04505550116300583,12,0.04493945091962814,0.40176580750985186
39,9,0.063588947057724,48,0.04719756916165352,47,0.04664188623428345,6,0.04540715739130974,0.40028696589541857
11,9,0.06566423177719116,47,0.04901553690433502,38,0.048200737684965134,12,0.0468720905482769,0.5001104279616295
9,9,0.059801600873470306,12,0.05279626324772835,15,0.04847812280058861,47,0.04827972874045372,0.1000532162274666
8,12,0.05710355192422867,31,0.05685354024171829,48,0.05302947759628296,0,0.05141425505280495,0.10069184599301628
7,48,0.057854775339365005,15,0.056741125881671906,12,0.056083161383867264,47,0.05564621463418007,0.5000128502514264
38,15,0.06236695498228073,47,0.06100301072001457,48,0.060154080390930176,12,0.056856218725442886,0.40074275286929456
0,15,0.0683910995721817,47,0.06715631484985352,12,0.05838385969400406,48,0.05776592344045639,0.2044088244902259
23,47,0.07222813367843628,15,0.07051783055067062,48,0.06321663409471512,12,0.06319674104452133,0.40008660550462993
15,47,0.07511716336011887,15,0.07171444594860077,12,0.0679779127240181,48,0.06762846559286118,0.400263055063558
12,47,0.08352040499448776,12,0.07190500199794769,31,0.0695381611585617,48,0.06537684053182602,0.3000160123992846
6,47,0.08908413350582123,48,0.07595614343881607,31,0.0731126219034195,46,0.07038778066635132,0.30008514565493155
31,47,0.09599326550960541,48,0.08357664197683334,31,0.0803351029753685,46,0.07284902781248093,0.20000595578715175
37,47,0.1063736155629158,37,0.08243687450885773,46,0.0786900520324707,48,0.07723411172628403,0.5006877073454169
22,47,0.11027314513921738,44,0.09407421201467514,45,0.08558866381645203,48,0.08528832346200943,0.30026095901840905
47,47,0.11984975636005402,44,0.10187210142612457,48,0.09643956273794174,46,0.09081323444843292,0.40000829259856163
44,48,0.11807499825954437,44,0.11620296537876129,46,0.1022743284702301,27,0.09770019352436066,0.5000121261390831
26,48,0.1392025351524353,46,0.11762141436338425,27,0.10877089947462082,45,0.10516548156738281,0.40000085758359094
45,48,0.1421334594488144,46,0.13004954159259796,45,0.1247810572385788,34,0.11163178831338882,0.30003757591841057
40,34,0.14456455409526825,48,0.14054112136363983,40,0.12973251938819885,46,0.1291012316942215,0.5000009592182755
13,48,0.16776084899902344,34,0.16199162602424622,5,0.144160196185112,27,0.1392054408788681,7.199045662762592e-07
27,34,0.18261156976222992,46,0.17275412380695343,48,0.16430865228176117,5,0.1634153425693512,0.30000060071382495
46,34,0.21564505994319916,46,0.20726719498634338,48,0.20673298835754395,5,0.1924346536397934,0.30000309059422237
48,34,0.26699283719062805,5,0.24830055236816406,48,0.24335500597953796,21,0.24135154485702515,0.500000346235319
21,34,0.3701654374599457,21,0.3193643391132355,5,0.31047025322914124,1,0.0,0.300000532785368
34,34,0.5388524532318115,5,0.46114757657051086,1,0.0,2,0.0,0.1000000870183187
5,5,1.0,0,0.0,1,0.0,2,0.0,0.2000000180675707
